"CntyFips","County","abbr","year","FFSpop","H0","H1","H2","Bene","BeneH","BeneM","newH0","newH1","newH2","newBene","newBeneH","newBeneM","NPIH0"
"01003","Baldwin","AL",2012,26529,63.63,13.76,49.87,15.49,3.54,11.95,1.73,0.011,1.73,1.7,0.011,1.7,1.51
"01003","Baldwin","AL",2013,27141,62.71,11.53,51.18,24.21,4.79,19.42,5.34,0.011,5.34,5.34,0.011,5.34,1.47
"01003","Baldwin","AL",2014,27575,42.65,4.28,38.37,14.47,3.01,11.46,3.01,0.94,2.07,3.01,0.94,2.07,1.09
"01003","Baldwin","AL",2015,28158,21.7,0.011,21.7,10.9,0.011,10.9,5.11,0.011,5.11,5.11,0.011,5.11,1.07
"01003","Baldwin","AL",2016,28855,20.03,0.011,20.03,7.56,0.011,7.56,1.11,0.011,1.11,1.11,0.011,1.11,1.04
"01003","Baldwin","AL",2017,25909,74.88,21.38,53.49,29.06,8.68,20.38,4.4,1.58,2.82,4.4,1.58,2.82,1.93
"01003","Baldwin","AL",2018,26107,46.12,7.51,38.61,26.62,5.78,20.84,8.12,2.72,5.4,8.12,2.72,5.4,2.3
"01003","Baldwin","AL",2019,26142,57.49,15.76,41.73,26.59,8.03,18.55,5.47,1.76,3.71,5.47,1.76,3.71,2.68
"01007","Bibb","AL",2012,2831,6,0.011,6,5.65,0.011,5.65,0.011,0.011,0.011,0.011,0.011,0.011,3.53
"01007","Bibb","AL",2014,2824,14.87,0.011,14.87,9.21,0.011,9.21,0.011,0.011,0.011,0.011,0.011,0.011,3.54
"01007","Bibb","AL",2015,2763,138.62,132.1,6.51,56.46,49.95,6.51,12.67,12.67,0.011,12.67,12.67,0.011,18.1
"01007","Bibb","AL",2016,2688,264.88,239.96,24.93,126.86,108.63,18.23,36.83,36.83,0.011,36.83,36.83,0.011,14.88
"01007","Bibb","AL",2017,2226,378.26,371.07,7.19,221.92,214.73,7.19,82.21,82.21,0.011,82.21,82.21,0.011,13.48
"01007","Bibb","AL",2018,2072,354.73,354.73,0.011,237.45,237.45,0.011,86.39,86.39,0.011,86.39,86.39,0.011,19.31
"01007","Bibb","AL",2019,1931,169.86,107.72,62.14,118.59,75.09,43.5,16.57,16.57,0.011,16.57,16.57,0.011,10.36
"01009","Blount","AL",2014,6363,24.52,0.011,24.52,11.63,0.011,11.63,0.011,0.011,0.011,0.011,0.011,0.011,1.57
"01009","Blount","AL",2015,6446,4.5,0.011,4.5,2.48,0.011,2.48,0.011,0.011,0.011,0.011,0.011,0.011,1.55
"01015","Calhoun","AL",2012,20726,2.75,0.011,2.75,1.3,0.011,1.3,0.011,0.011,0.011,0.011,0.011,0.011,0.48
"01015","Calhoun","AL",2013,20798,44.33,4.62,39.72,12.89,2.31,10.58,2.74,1.2,1.54,2.74,1.2,1.54,1.44
"01015","Calhoun","AL",2014,20758,18.93,0.011,18.93,4.43,0.011,4.43,0.011,0.011,0.011,0.011,0.011,0.011,0.96
"01015","Calhoun","AL",2015,20832,4.66,0.011,4.66,2.74,0.011,2.74,0.011,0.011,0.011,0.011,0.011,0.011,0.48
"01015","Calhoun","AL",2016,20651,12.83,0.011,12.83,6.2,0.011,6.2,0.011,0.011,0.011,0.011,0.011,0.011,0.97
"01015","Calhoun","AL",2017,18538,14.35,1.29,13.05,6.74,0.92,5.83,0.011,0.011,0.011,0.011,0.011,0.011,1.62
"01015","Calhoun","AL",2018,17934,15.11,1.62,13.49,8.42,0.78,7.64,0.011,0.011,0.011,0.011,0.011,0.011,2.23
"01015","Calhoun","AL",2019,16919,9.46,1.3,8.16,5.02,0.71,4.31,0.011,0.011,0.011,0.011,0.011,0.011,1.77
"01017","Chambers","AL",2013,6784,2.06,0.011,2.06,2.06,0.011,2.06,0.011,0.011,0.011,0.011,0.011,0.011,1.47
"01017","Chambers","AL",2014,6869,13.39,0.011,13.39,6.55,0.011,6.55,0.011,0.011,0.011,0.011,0.011,0.011,1.46
"01017","Chambers","AL",2015,6799,21.18,0.011,21.18,9.71,0.011,9.71,0.011,0.011,0.011,0.011,0.011,0.011,1.47
"01017","Chambers","AL",2016,6771,23.48,0.011,23.48,7.83,0.011,7.83,0.011,0.011,0.011,0.011,0.011,0.011,1.48
"01017","Chambers","AL",2017,6155,18.85,0.011,18.85,2.76,0.011,2.76,0.011,0.011,0.011,0.011,0.011,0.011,1.62
"01017","Chambers","AL",2018,5881,34.35,5.1,29.25,14.96,3.74,11.22,1.87,0.011,1.87,1.87,0.011,1.87,3.4
"01017","Chambers","AL",2019,5058,34.4,6.33,28.07,16.61,4.74,11.86,0.011,0.011,0.011,0.011,0.011,0.011,3.95
"01019","Cherokee","AL",2012,4762,7.77,0.011,7.77,5.67,0.011,5.67,0.011,0.011,0.011,0.011,0.011,0.011,2.1
"01019","Cherokee","AL",2013,4825,2.49,0.011,2.49,2.49,0.011,2.49,0.011,0.011,0.011,0.011,0.011,0.011,2.07
"01021","Chilton","AL",2016,4426,4.97,0.011,4.97,3.16,0.011,3.16,0.011,0.011,0.011,0.011,0.011,0.011,2.26
"01021","Chilton","AL",2019,3505,6.85,0.011,6.85,3.71,0.011,3.71,0.011,0.011,0.011,0.011,0.011,0.011,2.85
"01029","Cleburne","AL",2012,2793,38.31,0.011,38.31,20.41,0.011,20.41,0.011,0.011,0.011,0.011,0.011,0.011,3.58
"01029","Cleburne","AL",2013,2833,31.42,0.011,31.42,16.24,0.011,16.24,0.011,0.011,0.011,0.011,0.011,0.011,3.53
"01029","Cleburne","AL",2014,2822,25.16,0.011,25.16,15.59,0.011,15.59,0.011,0.011,0.011,0.011,0.011,0.011,3.54
"01029","Cleburne","AL",2015,2795,27.19,0.011,27.19,13.95,0.011,13.95,0.011,0.011,0.011,0.011,0.011,0.011,3.58
"01029","Cleburne","AL",2016,2788,35.15,0.011,35.15,15.42,0.011,15.42,0.011,0.011,0.011,0.011,0.011,0.011,3.59
"01029","Cleburne","AL",2017,2585,32.5,0.011,32.5,18.57,0.011,18.57,0.011,0.011,0.011,0.011,0.011,0.011,3.87
"01029","Cleburne","AL",2018,2542,40.13,0.011,40.13,20.85,0.011,20.85,0.011,0.011,0.011,0.011,0.011,0.011,3.93
"01029","Cleburne","AL",2019,2411,53.5,0.011,53.5,24.47,0.011,24.47,0.011,0.011,0.011,0.011,0.011,0.011,4.15
"01031","Coffee","AL",2019,7160,6.7,0.011,6.7,3.21,0.011,3.21,0.011,0.011,0.011,0.011,0.011,0.011,1.4
"01033","Colbert","AL",2013,11644,15.37,0.011,15.37,11.16,0.011,11.16,1.89,0.011,1.89,1.89,0.011,1.89,0.86
"01033","Colbert","AL",2014,11435,14.87,0.011,14.87,8.66,0.011,8.66,0.011,0.011,0.011,0.011,0.011,0.011,0.87
"01033","Colbert","AL",2016,11205,4.46,0.011,4.46,1.78,0.011,1.78,0.011,0.011,0.011,0.011,0.011,0.011,0.89
"01033","Colbert","AL",2017,10123,12.94,0.011,12.94,3.36,0.011,3.36,0.011,0.011,0.011,0.011,0.011,0.011,0.99
"01033","Colbert","AL",2018,9690,75.03,37.67,37.36,40.04,21.26,18.78,3.61,1.86,1.75,3.61,1.86,1.75,1.03
"01033","Colbert","AL",2019,9035,62.2,0.011,62.2,14.94,0.011,14.94,0.011,0.011,0.011,0.011,0.011,0.011,1.11
"01039","Covington","AL",2013,8274,3.87,3.87,0.011,1.33,1.33,0.011,0.011,0.011,0.011,0.011,0.011,0.011,1.21
"01041","Crenshaw","AL",2018,2045,5.87,0.011,5.87,5.87,0.011,5.87,0.011,0.011,0.011,0.011,0.011,0.011,4.89
"01043","Cullman","AL",2014,13550,2.21,2.21,0.011,1.25,1.25,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.74
"01043","Cullman","AL",2015,13496,10.82,10.82,0.011,3.41,3.41,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.74
"01043","Cullman","AL",2016,13703,28.39,28.39,0.011,13.79,13.79,0.011,3.58,3.58,0.011,3.58,3.58,0.011,2.19
"01043","Cullman","AL",2017,11780,51.19,20.2,30.98,18.42,7.56,10.87,1.1,0.011,1.1,1.1,0.011,1.1,3.4
"01043","Cullman","AL",2018,11283,28.8,13.56,15.24,12.23,4.96,7.27,0.011,0.011,0.011,0.011,0.011,0.011,2.66
"01043","Cullman","AL",2019,10734,21.61,11.74,9.88,10.43,5.22,5.22,0.011,0.011,0.011,0.011,0.011,0.011,1.86
"01045","Dale","AL",2018,7190,12.66,12.66,0.011,9.87,9.87,0.011,5.7,5.7,0.011,5.7,5.7,0.011,1.39
"01045","Dale","AL",2019,6880,24.42,24.42,0.011,17.73,17.73,0.011,6.4,6.4,0.011,6.4,6.4,0.011,1.45
"01047","Dallas","AL",2012,7341,9.81,0.011,9.81,1.91,0.011,1.91,0.011,0.011,0.011,0.011,0.011,0.011,1.36
"01047","Dallas","AL",2013,7231,9.27,0.011,9.27,1.8,0.011,1.8,0.011,0.011,0.011,0.011,0.011,0.011,1.38
"01049","DeKalb","AL",2013,11291,5.93,5.93,0.011,2.75,2.75,0.011,0.011,0.011,0.011,0.011,0.011,0.011,1.77
"01049","DeKalb","AL",2014,11346,2.2,2.2,0.011,1.23,1.23,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.88
"01049","DeKalb","AL",2015,11323,3,3,0.011,1.5,1.5,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.88
"01049","DeKalb","AL",2016,11348,10.93,2.29,8.64,2.29,1.32,0.97,0.011,0.011,0.011,0.011,0.011,0.011,0.88
"01049","DeKalb","AL",2017,10322,6.1,6.1,0.011,2.52,2.52,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.97
"01049","DeKalb","AL",2018,10067,18.87,18.87,0.011,6.16,6.16,0.011,1.09,1.09,0.011,1.09,1.09,0.011,0.99
"01049","DeKalb","AL",2019,9327,13.51,13.51,0.011,4.18,4.18,0.011,0.011,0.011,0.011,0.011,0.011,0.011,1.07
"01051","Elmore","AL",2018,8439,8.65,8.65,0.011,7.11,7.11,0.011,0.011,0.011,0.011,0.011,0.011,0.011,1.18
"01051","Elmore","AL",2019,8155,6.38,4.78,1.59,5.89,4.54,1.35,0.011,0.011,0.011,0.011,0.011,0.011,1.23
"01053","Escambia","AL",2019,4846,8.67,8.67,0.011,2.68,2.68,0.011,0.011,0.011,0.011,0.011,0.011,0.011,2.06
"01055","Etowah","AL",2012,18609,33.85,5.75,28.1,14.89,3.39,11.5,5.96,1.29,4.68,5.96,1.29,4.68,1.61
"01055","Etowah","AL",2013,18630,23.78,0.011,23.78,8.11,0.011,8.11,2.09,0.011,2.09,2.09,0.011,2.09,1.61
"01055","Etowah","AL",2014,17453,25.55,0.011,25.55,14.32,0.011,14.32,6.65,0.011,6.65,6.65,0.011,6.65,1.72
"01055","Etowah","AL",2015,17997,27.62,0.011,27.62,10.11,0.011,10.11,2.11,0.011,2.11,2.11,0.011,2.11,2.22
"01055","Etowah","AL",2016,16966,29.47,6.25,23.22,9.96,1.18,8.78,1.41,0.011,1.41,1.41,0.011,1.41,2.36
"01055","Etowah","AL",2017,14624,28.17,4.17,24,8.68,0.75,7.93,0.89,0.011,0.89,0.89,0.011,0.89,2.74
"01055","Etowah","AL",2018,14026,42.64,12.41,30.23,10.69,2.28,8.41,1.07,0.011,1.07,1.07,0.011,1.07,1.43
"01055","Etowah","AL",2019,13395,46.21,8.29,37.92,11.2,1.49,9.71,0.011,0.011,0.011,0.011,0.011,0.011,2.24
"01061","Geneva","AL",2012,5612,3.03,0.011,3.03,2.32,0.011,2.32,0.011,0.011,0.011,0.011,0.011,0.011,1.78
"01069","Houston","AL",2012,17207,29.87,2.09,27.78,11.62,1.39,10.23,0.99,0.011,0.99,0.99,0.011,0.99,2.32
"01069","Houston","AL",2013,17462,4.75,0.011,4.75,2,0.011,2,0.011,0.011,0.011,0.011,0.011,0.011,1.15
"01069","Houston","AL",2015,17605,17.38,0.011,17.38,2.44,0.011,2.44,0.011,0.011,0.011,0.011,0.011,0.011,0.57
"01069","Houston","AL",2016,17708,1.3,0.011,1.3,0.68,0.011,0.68,0.011,0.011,0.011,0.011,0.011,0.011,0.56
"01069","Houston","AL",2018,14166,29.01,16.94,12.07,17.72,10.94,6.78,1.06,1.06,0.011,1.06,1.06,0.011,0.71
"01073","Jefferson","AL",2012,63486,83.47,3.72,79.75,36.86,2.27,34.59,4.11,0.25,3.86,4.1,0.25,3.84,2.21
"01073","Jefferson","AL",2013,62761,93.58,5.51,88.06,40.76,3.51,37.25,4.27,0.011,4.27,4.24,0.011,4.24,2.39
"01073","Jefferson","AL",2014,63513,72.85,8.99,63.86,31.73,4.57,27.16,1.81,0.011,1.81,1.81,0.011,1.81,2.68
"01073","Jefferson","AL",2015,63332,76.91,9.54,67.38,35.15,5.16,29.98,3.13,0.41,2.72,3.13,0.41,2.72,2.68
"01073","Jefferson","AL",2016,63427,78.64,18.54,60.1,37.32,9.85,27.46,3.85,1.43,2.41,3.85,1.43,2.41,2.68
"01073","Jefferson","AL",2017,51417,83.92,20.36,63.56,45.63,14.08,31.55,5.8,2.76,3.03,5.78,2.76,3.01,3.89
"01073","Jefferson","AL",2018,50310,77.2,14.21,62.99,36.16,8.73,27.43,2.58,0.28,2.31,2.58,0.28,2.31,2.98
"01073","Jefferson","AL",2019,48488,74.78,13.45,61.33,30.67,7.63,23.04,2.17,0.011,2.17,2.17,0.011,2.17,2.89
"01077","Lauderdale","AL",2017,15255,4.06,4.06,0.011,3.67,3.67,0.011,1.51,1.51,0.011,1.51,1.51,0.011,0.66
"01077","Lauderdale","AL",2018,14810,7.29,0.011,7.29,5.6,0.011,5.6,0.011,0.011,0.011,0.011,0.011,0.011,0.68
"01077","Lauderdale","AL",2019,14118,3.47,0.011,3.47,1.98,0.011,1.98,0.78,0.011,0.78,0.78,0.011,0.78,0.71
"01079","Lawrence","AL",2018,5086,5.31,5.31,0.011,4.33,4.33,0.011,0.011,0.011,0.011,0.011,0.011,0.011,1.97
"01081","Lee","AL",2012,15137,11.56,0.011,11.56,1.85,0.011,1.85,0.011,0.011,0.011,0.011,0.011,0.011,0.66
"01081","Lee","AL",2013,15669,15.89,0.011,15.89,1.66,0.011,1.66,0.011,0.011,0.011,0.011,0.011,0.011,0.64
"01081","Lee","AL",2014,15885,15.49,0.011,15.49,1.89,0.011,1.89,0.011,0.011,0.011,0.011,0.011,0.011,0.63
"01081","Lee","AL",2015,16244,17.79,0.011,17.79,3.39,0.011,3.39,0.011,0.011,0.011,0.011,0.011,0.011,1.23
"01081","Lee","AL",2016,16707,10.59,0.011,10.59,2.63,0.011,2.63,0.011,0.011,0.011,0.011,0.011,0.011,1.2
"01081","Lee","AL",2017,14105,7.37,0.011,7.37,1.42,0.011,1.42,0.011,0.011,0.011,0.011,0.011,0.011,0.71
"01081","Lee","AL",2018,13624,11.45,0.011,11.45,1.83,0.011,1.83,0.011,0.011,0.011,0.011,0.011,0.011,0.73
"01081","Lee","AL",2019,13362,1.87,1.87,0.011,1.35,1.35,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.75
"01083","Limestone","AL",2016,12251,2.12,2.12,0.011,2.12,2.12,0.011,2.12,2.12,0.011,2.12,2.12,0.011,0.82
