"StateFips","State","abbr","year","FFSpop","H0","H1","H2","Bene","BeneH","BeneM","newH0","newH1","newH2","newBene","newBeneH","newBeneM","NPIH0"
"01","Alabama","AL",2012,664638,29.15,6.63,22.52,11.28,2.25,9.03,1.57,0.42,1.16,1.56,0.41,1.14,0.8
"01","Alabama","AL",2013,669697,27.83,4.84,22.99,11.63,2.07,9.56,1.57,0.26,1.31,1.55,0.25,1.3,0.88
"01","Alabama","AL",2014,674129,23.65,4.82,18.83,10.93,2.75,8.18,1.59,0.65,0.94,1.58,0.63,0.94,1.25
"01","Alabama","AL",2015,674322,26.28,6.92,19.36,11.64,3.25,8.39,1.6,0.6,1,1.6,0.6,1,1.25
"01","Alabama","AL",2016,674598,29.51,8.99,20.52,13.82,4.53,9.3,2,1.04,0.95,2,1.04,0.95,1.38
"01","Alabama","AL",2017,581381,33.57,10.92,22.65,16.09,6.19,9.9,2.35,1.23,1.12,2.35,1.23,1.12,1.48
"01","Alabama","AL",2018,558203,37.9,11.9,26,17.95,6.39,11.56,2.43,1.21,1.22,2.43,1.21,1.22,1.56
"01","Alabama","AL",2019,534585,46.17,13.44,32.73,19.77,6.3,13.46,2.64,1.12,1.52,2.64,1.12,1.52,1.8
"02","Alaska","AK",2012,66050,19.98,5.93,14.05,8.16,3.16,5,3.22,1.71,1.51,3.22,1.71,1.51,0.91
"02","Alaska","AK",2013,68756,27.98,7.49,20.49,9.93,3.93,6.01,1.83,1.63,0.2,1.83,1.63,0.2,1.6
"02","Alaska","AK",2014,71383,19.53,3.18,16.35,5.56,1.12,4.44,0.27,0.27,0.011,0.27,0.27,0.011,1.12
"02","Alaska","AK",2015,74617,14.47,1.84,12.64,5.16,0.78,4.38,0.15,0.011,0.15,0.15,0.011,0.15,1.07
"02","Alaska","AK",2016,78312,14.79,3.51,11.28,5.57,1.53,4.04,0.18,0.011,0.18,0.18,0.011,0.18,1.15
"02","Alaska","AK",2017,81331,13.64,0.74,12.9,4.32,0.47,3.85,0.14,0.011,0.14,0.14,0.011,0.14,1.23
"02","Alaska","AK",2018,84786,7.32,1.01,6.31,3.14,0.67,2.47,0.14,0.14,0.011,0.14,0.14,0.011,0.83
"02","Alaska","AK",2019,88361,6.73,1.36,5.38,3.49,0.91,2.58,0.62,0.2,0.42,0.62,0.2,0.42,1.02
"04","Arizona","AZ",2012,561522,139.32,33.41,105.91,47.27,12.81,34.47,9.73,3.73,5.99,9.65,3.71,5.94,3.17
"04","Arizona","AZ",2013,577447,161.32,37.8,123.51,54.17,15.43,38.74,11.59,4.82,6.77,11.59,4.82,6.77,4.07
"04","Arizona","AZ",2014,598254,181.57,36.01,145.56,59.12,14.58,44.53,12.05,4.84,7.21,12.05,4.84,7.21,3.91
"04","Arizona","AZ",2015,616633,196.02,42.89,153.13,62.61,17.35,45.27,12.61,5.59,7.02,12.61,5.59,7.02,3.65
